"File","DeclaringType","Property","Kind","Line"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisTitle.cs","AxisTitle","TxPrTextBody","Property","37"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnits.cs","AxisUnits","AxisUnitsLabel","Property","32"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnits.cs","AxisUnits","ExtensionList","Property","39"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnits.cs","AxisUnits","Unit","Property","25"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnitsLabel.cs","AxisUnitsLabel","ExtensionList","Property","45"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnitsLabel.cs","AxisUnitsLabel","ShapeProperties","Property","31"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnitsLabel.cs","AxisUnitsLabel","Text","Property","24"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnitsLabel.cs","AxisUnitsLabel","TxPrTextBody","Property","38"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Binning.cs","Binning","BinCountXsdunsignedInt","Property","53"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Binning.cs","Binning","IntervalClosed","Property","25"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Binning.cs","Binning","Overflow","Property","39"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Binning.cs","Binning","Underflow","Property","32"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Binning.cs","Binning","Xsddouble","Property","46"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\CategoryAxisScaling.cs","CategoryAxisScaling","GapWidth","Property","25"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Chart.cs","Chart","ChartTitle","Property","25"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Chart.cs","Chart","ExtensionList","Property","46"
